picture,price,link,material,score,name,section,brand,keyword
http://nord.imgix.net/Zoom/4/_13325124.jpg?fit=fill&bg=FFF&fm=jpg&w=380&h=583,99.90,https://nordstrom.com/s/michael-kors-wool-blend-double-breasted-peacoat/3815683?origin=keywordsearch-personalizedsort&fashioncolor=OFFICER%20NAVY,60% wool  30% polyester  10% rayon; Brown Heather and Heather Grey are 60% wool  30% polyester  5% nylon  5% other fibers; Loden Green is 63% wool  32% polyester  5% other fibers.,6.12,Wool Blend Double Breasted Peacoat,Men,Nordstorm,Sportswear
http://nord.imgix.net/Zoom/16/_100450576.jpg?fit=fill&bg=FFF&fm=jpg&w=380&h=583,175.00,https://nordstrom.com/s/burberry-brit-oxford-short-sleeve-polo/4178324?origin=keywordsearch-personalizedsort&fashioncolor=CHALK%20BLUE,100% cotton.,6.12,'Oxford' Short Sleeve Polo,Men,Nordstorm,Sportswear
http://nord.imgix.net/Zoom/14/_100280594.jpg?fit=fill&bg=FFF&fm=jpg&w=380&h=583,178.00,https://nordstrom.com/s/ag-graduate-sud-slim-straight-leg-pants/3645155?origin=keywordsearch-personalizedsort&fashioncolor=FOREST%20BROWN,97% cotton  3% elastane,6.12,Graduate SUD Slim Straight Leg Pants,Men,Nordstorm,Sportswear
http://nord.imgix.net/Zoom/0/_100418840.jpg?fit=fill&bg=FFF&fm=jpg&w=380&h=583,169.90,https://nordstrom.com/s/barbour-chelsea-regular-fit-quilted-jacket/3785737?origin=keywordsearch-personalizedsort&fashioncolor=BLACK,100% polyester.,6.12,'Chelsea' Regular Fit Quilted Jacket,Men,Nordstorm,Sportswear
http://nord.imgix.net/Zoom/1/_13168441.jpg?fit=fill&bg=FFF&fm=jpg&w=380&h=583,99.00,https://nordstrom.com/s/better-sweater-1-4-zip/4177901?origin=keywordsearch-personalizedsort&fashioncolor=STONEWASH,100% polyester.,6.12,'Better Sweater' Quarter Zip Pullover,Men,Nordstorm,Sportswear
http://nord.imgix.net/Zoom/17/_100439617.jpg?fit=fill&bg=FFF&fm=jpg&w=380&h=583,265.00,https://nordstrom.com/s/burberry-brit-cambridge-aboyd-trim-fit-sport-shirt/4061528?origin=keywordsearch-personalizedsort&fashioncolor=PALE%20PERIDOT%20BLUE,97% cotton  3% elastane.,6.12,'Cambridge Aboyd' Trim Fit Sport Shirt,Men,Nordstorm,Sportswear
http://nord.imgix.net/Zoom/19/_100352199.jpg?fit=fill&bg=FFF&fm=jpg&w=380&h=583,68.00,https://nordstrom.com/s/oneill-salt-water-solids-one-piece-swimsuit/4537612?origin=keywordsearch-personalizedsort&fashioncolor=PEPPER,85% polyamide  15% elastane,6.12,Salt Water Solids One-Piece Swimsuit,Women,Nordstorm,Swimwear
http://nord.imgix.net/Zoom/4/_13030104.jpg?fit=fill&bg=FFF&fm=jpg&w=380&h=583,118.00,https://nordstrom.com/s/becca-color-play-one-piece-swimsuit/4444151?origin=keywordsearch-personalizedsort&fashioncolor=BLACK,,,Color Play One-Piece Swimsuit,Women,Nordstorm,Swimwear
http://nord.imgix.net/Zoom/2/_100250942.jpg?fit=fill&bg=FFF&fm=jpg&w=380&h=583,124.00,https://nordstrom.com/s/becca-prairie-rose-crochet-one-piece-swimsuit/4472593?origin=keywordsearch-personalizedsort&fashioncolor=BLACK,88% nylon  12% spandex,6.12,'Prairie Rose' Crochet One-Piece Swimsuit,Women,Nordstorm,Swimwear
http://nord.imgix.net/Zoom/15/_100352295.jpg?fit=fill&bg=FFF&fm=jpg&w=380&h=583,52.00,https://nordstrom.com/s/oneill-vida-bralette-bikini-top/4585447?origin=keywordsearch-personalizedsort&fashioncolor=GREY,85% polyamide  15% elastane,6.12,Vida Bralette Bikini Top,Women,Nordstorm,Swimwear
