picture,price,link,material,score,name,category,brand,keyword
http://nord.imgix.net/Zoom/0/_8607620.jpg?fit=fill&bg=FFF&fm=jpg&w=380&h=583,297.49,https://nordstrom.com/s/cole-haan-italian-wool-blend-overcoat/3478751?origin=keywordsearch-personalizedsort&fashioncolor=BLACK,65% wool  20% nylon  10% cashmere  5% polyester.,6.12,Italian Wool Blend Overcoat,Men,Nordstorm,Jackets & Suits
http://nord.imgix.net/Zoom/18/_9028898.jpg?fit=fill&bg=FFF&fm=jpg&w=380&h=583,99.00,https://nordstrom.com/s/the-north-face-venture-packable-waterproof-jacket/3617362?origin=keywordsearch-personalizedsort&fashioncolor=TNF%20BLACK,62% nylon  38% polyester or 100% nylon.,6.12,'Venture' Packable Waterproof Jacket,Men,Nordstorm,Jackets & Suits
http://nord.imgix.net/Zoom/4/_12906224.jpg?fit=fill&bg=FFF&fm=jpg&w=380&h=583,140.00,https://nordstrom.com/s/alpha-industries-ma-1-slim-fit-bomber-jacket/4427110?origin=keywordsearch-personalizedsort&fashioncolor=BLACK,100% nylon.,6.12,'MA-1' Slim Fit Bomber Jacket,Men,Nordstorm,Jackets & Suits
http://nord.imgix.net/Zoom/0/_13101980.jpg?fit=fill&bg=FFF&fm=jpg&w=380&h=583,129.95,https://nordstrom.com/s/fitbit-charge-2-wireless-activity-heart-rate-tracker/4473079?origin=keywordsearch-personalizedsort&fashioncolor=BLUE,,,'Charge 2' Wireless Activity & Heart Rate Tracker,Women,Nordstorm,Accessories
http://nord.imgix.net/Zoom/19/_12026979.jpg?fit=fill&bg=FFF&fm=jpg&w=380&h=583,149.95,https://nordstrom.com/s/fitbit-blaze-smart-fitness-watch/4309774?origin=keywordsearch-personalizedsort&fashioncolor=BLUE,,,'Blaze' Smart Fitness Watch,Women,Nordstorm,Accessories
http://nord.imgix.net/Zoom/15/_12035275.jpg?fit=fill&bg=FFF&fm=jpg&w=380&h=583,99.95,https://nordstrom.com/s/fitbit-alta-wireless-fitness-tracker/4310173?origin=keywordsearch-personalizedsort&fashioncolor=BLACK,,,'Alta' Wireless Fitness Tracker,Women,Nordstorm,Accessories
http://nord.imgix.net/Zoom/9/_100362129.jpg?fit=fill&bg=FFF&fm=jpg&w=380&h=583,480.00,https://nordstrom.com/s/salvatore-ferragamo-double-gancio-leather-belt/4432104?origin=keywordsearch-personalizedsort&fashioncolor=BLACK,,,Double Gancio Leather Belt,Men,Nordstorm,Accessories
http://nord.imgix.net/Zoom/14/_100182574.jpg?fit=fill&bg=FFF&fm=jpg&w=380&h=583,89.95,https://nordstrom.com/s/fitbit-flex-2-small-bangle-accessory/4553206?origin=keywordsearch-personalizedsort&fashioncolor=ROSE%20GOLD,,,Flex 2 Small Bangle Accessory,Women,Nordstorm,Accessories
http://nord.imgix.net/Zoom/15/_100124415.jpg?fit=fill&bg=FFF&fm=jpg&w=380&h=583,179.95,https://nordstrom.com/s/fitbit-charge-2-special-edition-wireless-activity-heart-rate-tracker/4552215?origin=keywordsearch-personalizedsort&fashioncolor=LAVENDER,,,Charge 2 Special Edition Wireless Activity & Heart Rate Tracker,Women,Nordstorm,Accessories
http://nord.imgix.net/Zoom/18/_12579598.jpg?fit=fill&bg=FFF&fm=jpg&trim=color&trimcolor=FFF&trimtol=20&w=380&h=583,190.00,https://nordstrom.com/s/gucci-pursuit-72-slide-sandal-men/3408097?origin=keywordsearch-personalizedsort&fashioncolor=BLACK,,,'Pursuit '72 Slide' Sandal (Men),Men,Nordstorm,Shoes
